epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.226,1.73358,2.93982,1.32004,0.32489,0.83257,0.54943,0.3786,1.02653,2.69263,0.8933,0.00032,0.00032,0.00032
2,255.829,1.65405,1.46585,1.1355,0.88109,0.74859,0.86827,0.58943,1.14925,1.67845,0.93347,0.000653466,0.000653466,0.000653466
3,385.198,1.58113,1.11471,1.09386,0.89658,0.89658,0.91171,0.6138,1.1057,0.9304,0.92888,0.0009802,0.0009802,0.0009802
4,515.705,1.44659,0.97472,1.07792,0.86545,0.9156,0.89787,0.56874,1.16215,0.8059,0.95934,0.0013002,0.0013002,0.0013002
5,626.557,1.50411,0.96813,1.09355,0.87225,0.92153,0.90758,0.6535,0.96561,0.78697,0.90371,0.00161347,0.00161347,0.00161347
6,741.285,1.41499,0.89021,1.05334,0.92236,0.91059,0.93431,0.67182,1.00908,0.69266,0.9084,0.001901,0.001901,0.001901
7,866.545,1.38302,0.83915,1.05734,0.84947,0.92428,0.83295,0.57723,1.01484,0.71808,0.9067,0.0018812,0.0018812,0.0018812
8,990.189,1.30345,0.77868,1.02892,0.89642,0.92813,0.92762,0.67667,0.966,0.64297,0.90234,0.0018614,0.0018614,0.0018614
9,1117.65,1.33928,0.7637,1.04245,0.90612,0.92345,0.93849,0.68325,0.96849,0.67104,0.89283,0.0018416,0.0018416,0.0018416
10,1270.53,1.37071,0.81152,1.04302,0.85963,0.92695,0.89764,0.65713,0.92841,0.6323,0.89885,0.0018218,0.0018218,0.0018218
11,1394.44,1.41127,0.80264,1.05642,0.85171,0.92626,0.87873,0.61635,1.0089,0.64611,0.9159,0.001802,0.001802,0.001802
12,1516.98,1.3474,0.80092,1.04055,0.89329,0.92486,0.92876,0.63418,1.09226,0.64664,0.92893,0.0017822,0.0017822,0.0017822
13,1671.21,1.33236,0.75284,1.03597,0.88756,0.92255,0.92113,0.67268,0.99897,0.59242,0.90858,0.0017624,0.0017624,0.0017624
14,1800.6,1.27475,0.74,1.0276,0.88297,0.93314,0.91126,0.68249,0.86907,0.63391,0.87261,0.0017426,0.0017426,0.0017426
15,1919.88,1.29079,0.72839,1.02891,0.90283,0.92166,0.93282,0.68973,0.94607,0.59678,0.89997,0.0017228,0.0017228,0.0017228
16,2055.66,1.25374,0.72722,1.01072,0.91513,0.92836,0.9422,0.70949,0.88492,0.56997,0.88084,0.001703,0.001703,0.001703
17,2183.06,1.32536,0.7273,1.03218,0.91697,0.92829,0.9435,0.70956,0.9158,0.57226,0.88844,0.0016832,0.0016832,0.0016832
18,2304.92,1.26542,0.70097,1.01404,0.89797,0.93425,0.93429,0.7004,0.87654,0.58012,0.87308,0.0016634,0.0016634,0.0016634
19,2417.86,1.24881,0.67934,1.00136,0.91889,0.93287,0.94808,0.68961,0.97988,0.5509,0.90075,0.0016436,0.0016436,0.0016436
20,2524.88,1.23381,0.69774,1.01659,0.93021,0.9303,0.94897,0.72037,0.87905,0.53515,0.88048,0.0016238,0.0016238,0.0016238
21,2656.28,1.23486,0.69154,1.0038,0.90471,0.93405,0.94368,0.70018,0.91631,0.56816,0.88842,0.001604,0.001604,0.001604
22,2766.29,1.2011,0.66094,0.99644,0.91092,0.93403,0.94718,0.72724,0.85757,0.54014,0.87655,0.0015842,0.0015842,0.0015842
23,2892.51,1.19144,0.63906,0.99498,0.90243,0.93497,0.93794,0.7024,0.88961,0.55193,0.8861,0.0015644,0.0015644,0.0015644
24,2990.19,1.23875,0.65365,1.01785,0.9259,0.92215,0.94059,0.70435,0.91466,0.54919,0.88797,0.0015446,0.0015446,0.0015446
25,3098.92,1.19936,0.64614,0.99308,0.89126,0.93383,0.924,0.68356,0.88906,0.53513,0.87836,0.0015248,0.0015248,0.0015248
26,3209.51,1.19703,0.63088,0.98759,0.90208,0.93176,0.94687,0.72726,0.86072,0.51216,0.8738,0.001505,0.001505,0.001505
27,3330.26,1.19095,0.63422,0.99217,0.92258,0.9287,0.94892,0.73548,0.84749,0.5105,0.87186,0.0014852,0.0014852,0.0014852
28,3443.25,1.17621,0.63521,0.98019,0.91789,0.93195,0.94849,0.71524,0.89951,0.50019,0.88217,0.0014654,0.0014654,0.0014654
29,3574.01,1.24875,0.63768,1.01037,0.91133,0.93647,0.94862,0.73483,0.84068,0.50197,0.86963,0.0014456,0.0014456,0.0014456
30,3680.83,1.19595,0.62295,0.99697,0.91151,0.93975,0.94911,0.6849,1.0232,0.53203,0.91108,0.0014258,0.0014258,0.0014258
31,3803.83,1.25767,0.63717,1.00338,0.92522,0.932,0.94973,0.74104,0.82536,0.49148,0.86842,0.001406,0.001406,0.001406
32,3913.77,1.26299,0.63112,1.01532,0.90946,0.92836,0.94636,0.71075,0.91832,0.52143,0.88936,0.0013862,0.0013862,0.0013862
33,4030.89,1.18475,0.62398,0.98475,0.90956,0.93235,0.94749,0.70423,0.92362,0.5103,0.88708,0.0013664,0.0013664,0.0013664
34,4144.27,1.17705,0.60795,0.98606,0.90938,0.93257,0.9447,0.73106,0.84761,0.49216,0.87449,0.0013466,0.0013466,0.0013466
35,4263.08,1.18752,0.61358,0.99146,0.9094,0.93235,0.94636,0.71268,0.9215,0.53502,0.88861,0.0013268,0.0013268,0.0013268
36,4387.67,1.16573,0.61015,0.98378,0.91538,0.92961,0.94772,0.72588,0.86224,0.49376,0.87678,0.001307,0.001307,0.001307
37,4515.5,1.18176,0.61513,0.98921,0.91954,0.92542,0.94719,0.73336,0.8354,0.50869,0.86914,0.0012872,0.0012872,0.0012872
38,4655.58,1.1844,0.61552,0.98883,0.91268,0.92977,0.94774,0.73976,0.82209,0.47549,0.86947,0.0012674,0.0012674,0.0012674
39,4780.72,1.16746,0.59476,0.98546,0.91024,0.93394,0.94472,0.72433,0.87411,0.50011,0.87746,0.0012476,0.0012476,0.0012476
40,7771.95,1.14725,0.58783,0.97856,0.91157,0.93101,0.94697,0.6965,0.96273,0.49778,0.89597,0.0012278,0.0012278,0.0012278
41,7881.11,1.13974,0.56675,0.96736,0.90358,0.93286,0.9418,0.73401,0.82289,0.48877,0.86632,0.001208,0.001208,0.001208
42,8317.66,1.13371,0.57855,0.98225,0.90567,0.93279,0.944,0.72552,0.86581,0.50423,0.87549,0.0011882,0.0011882,0.0011882
43,8455.71,1.19976,0.59677,0.98699,0.9041,0.93305,0.94065,0.70309,0.90393,0.49749,0.88229,0.0011684,0.0011684,0.0011684
44,8569.42,1.15702,0.59889,0.98523,0.91178,0.93228,0.94753,0.72551,0.87534,0.48906,0.87996,0.0011486,0.0011486,0.0011486
45,8677.49,1.15797,0.58775,0.98148,0.89936,0.93087,0.93965,0.71866,0.86558,0.47978,0.87769,0.0011288,0.0011288,0.0011288
46,8779.97,1.17852,0.57661,0.99162,0.91695,0.93155,0.94716,0.73026,0.84848,0.48047,0.87257,0.001109,0.001109,0.001109
47,8896.18,1.15239,0.57937,0.9732,0.91797,0.93052,0.94953,0.70916,0.93665,0.4838,0.89249,0.0010892,0.0010892,0.0010892
48,9003.35,1.08047,0.53807,0.95401,0.9093,0.93383,0.94537,0.71525,0.87797,0.47785,0.87694,0.0010694,0.0010694,0.0010694
49,9109.37,1.15187,0.57622,0.97745,0.90035,0.93743,0.94555,0.73072,0.84813,0.46728,0.87354,0.0010496,0.0010496,0.0010496
50,9213.64,1.10098,0.55589,0.96251,0.90007,0.93459,0.94025,0.7058,0.90317,0.49371,0.88702,0.0010298,0.0010298,0.0010298
51,9315.44,1.16129,0.56301,0.98249,0.90698,0.93397,0.94481,0.7188,0.87533,0.47017,0.8788,0.00101,0.00101,0.00101
