epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.969,1.73341,2.94032,1.32021,0.31782,0.81446,0.51632,0.35055,1.02403,2.6927,0.88902,0.00032,0.00032,0.00032
2,239.678,1.65347,1.46896,1.13703,0.86729,0.74772,0.85858,0.57984,1.13128,1.69061,0.92586,0.000653466,0.000653466,0.000653466
3,362.137,1.57863,1.11677,1.09394,0.89766,0.88907,0.91009,0.60139,1.12299,0.9558,0.93084,0.0009802,0.0009802,0.0009802
4,485.157,1.45746,0.98111,1.08193,0.86808,0.9082,0.89857,0.55699,1.18646,0.82679,0.96011,0.0013002,0.0013002,0.0013002
5,607.43,1.47706,0.96325,1.08645,0.86002,0.91891,0.88848,0.63506,0.94345,0.81361,0.88982,0.00161347,0.00161347,0.00161347
6,728.611,1.40706,0.8777,1.04947,0.92054,0.91253,0.93236,0.68668,0.93471,0.67527,0.89201,0.001901,0.001901,0.001901
7,850.195,1.42311,0.84428,1.06657,0.82115,0.91219,0.78829,0.54914,0.95169,0.74346,0.88851,0.0018812,0.0018812,0.0018812
8,990.581,1.29998,0.77758,1.0269,0.92965,0.91788,0.94509,0.69226,0.9456,0.59851,0.89285,0.0018614,0.0018614,0.0018614
9,1117.38,1.3268,0.77029,1.03933,0.90594,0.92475,0.93958,0.70056,0.89194,0.62395,0.87708,0.0018416,0.0018416,0.0018416
10,1244.92,1.35908,0.79544,1.04275,0.88609,0.92938,0.91451,0.67771,0.90967,0.59568,0.88459,0.0018218,0.0018218,0.0018218
11,1599.34,1.37514,0.80047,1.04483,0.87504,0.92756,0.90198,0.63189,1.01239,0.65057,0.91309,0.001802,0.001802,0.001802
12,1726.45,1.31676,0.78898,1.03307,0.90411,0.91082,0.91809,0.59157,1.17959,0.65383,0.9473,0.0017822,0.0017822,0.0017822
13,1862.36,1.31324,0.74621,1.02968,0.92545,0.92084,0.94434,0.69075,0.94781,0.61592,0.89156,0.0017624,0.0017624,0.0017624
14,2000.03,1.26166,0.72369,1.02367,0.88908,0.92995,0.91586,0.68127,0.88712,0.62889,0.87213,0.0017426,0.0017426,0.0017426
15,2138.8,1.28992,0.72775,1.02665,0.90436,0.92836,0.94083,0.70479,0.88029,0.61985,0.87507,0.0017228,0.0017228,0.0017228
16,2280.83,1.263,0.72676,1.01673,0.91581,0.92506,0.94616,0.7238,0.85151,0.54633,0.8727,0.001703,0.001703,0.001703
17,2423.01,1.30874,0.71833,1.02721,0.92195,0.92696,0.94706,0.69238,0.96501,0.57626,0.89513,0.0016832,0.0016832,0.0016832
